date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:27:56	4748/4748	---M--	200	added ('OK')	image/webp	etag:%22128c-652a897f-43b059885188a236;;;%22	https://ppc5g.com/images/chemical-industries.webp	C:/Users/Vishal/Desktop/pcc/ppc5g.com/images/chemical-industries.webp	(from https://ppc5g.com/index.php)
17:27:56	6508/6508	---M--	200	added ('OK')	image/webp	etag:%22196c-652a8985-ecdab99aeab49302;;;%22	https://ppc5g.com/images/uae.webp	C:/Users/Vishal/Desktop/pcc/ppc5g.com/images/uae.webp	(from https://ppc5g.com/index.php)
17:27:57	14720/14720	---M--	200	added ('OK')	image/webp	etag:%223980-652a8984-7e432f55f32b8405;;;%22	https://ppc5g.com/images/sri-lanka.webp	C:/Users/Vishal/Desktop/pcc/ppc5g.com/images/sri-lanka.webp	(from https://ppc5g.com/index.php)
17:27:57	11586/11586	---M--	200	added ('OK')	image/webp	etag:%222d42-652a897f-a4dd696b225a3e1b;;;%22	https://ppc5g.com/images/bhutan.webp	C:/Users/Vishal/Desktop/pcc/ppc5g.com/images/bhutan.webp	(from https://ppc5g.com/index.php)
17:27:58	8116/8116	---M--	200	added ('OK')	image/webp	etag:%221fb4-652a8984-4e1b13c7fb430298;;;%22	https://ppc5g.com/images/singapore-1.webp	C:/Users/Vishal/Desktop/pcc/ppc5g.com/images/singapore-1.webp	(from https://ppc5g.com/index.php)
17:27:58	13016/13016	---M--	200	added ('OK')	image/webp	etag:%2232d8-652a8982-431eb8045a094d2b;;;%22	https://ppc5g.com/images/malaysia.webp	C:/Users/Vishal/Desktop/pcc/ppc5g.com/images/malaysia.webp	(from https://ppc5g.com/index.php)
17:27:58	7958/7958	---M--	200	added ('OK')	image/webp	etag:%221f16-652a897f-75fa7e5d8ed2037b;;;%22	https://ppc5g.com/images/australia-1.webp	C:/Users/Vishal/Desktop/pcc/ppc5g.com/images/australia-1.webp	(from https://ppc5g.com/index.php)
17:27:58	8972/8972	---M--	200	added ('OK')	image/webp	etag:%22230c-652a8982-c69710b203df9137;;;%22	https://ppc5g.com/images/japan.webp	C:/Users/Vishal/Desktop/pcc/ppc5g.com/images/japan.webp	(from https://ppc5g.com/index.php)
17:27:59	7454/7454	---M--	200	added ('OK')	image/webp	etag:%221d1e-652a8985-4808506b06ae972;;;%22	https://ppc5g.com/images/usa.webp	C:/Users/Vishal/Desktop/pcc/ppc5g.com/images/usa.webp	(from https://ppc5g.com/index.php)
17:27:59	8964/8964	---M--	200	added ('OK')	image/webp	etag:%222304-652a897f-b3e3668d6305f585;;;%22	https://ppc5g.com/images/canada-1.webp	C:/Users/Vishal/Desktop/pcc/ppc5g.com/images/canada-1.webp	(from https://ppc5g.com/index.php)
17:27:59	9828/9828	---M--	200	added ('OK')	image/webp	etag:%222664-652a897f-d82d2962fd16fb1e;;;%22	https://ppc5g.com/images/africa.webp	C:/Users/Vishal/Desktop/pcc/ppc5g.com/images/africa.webp	(from https://ppc5g.com/index.php)
17:28:00	155845/155845	---M-Z	200	added ('OK')	text/css	etag:%22260c5-652a8966-2d1020e59f9f54b1;gz%22	https://ppc5g.com/css/bootstrap.min.css	C:/Users/Vishal/Desktop/pcc/ppc5g.com/css/bootstrap.min.css	(from https://ppc5g.com/landing-page.php)
